Movement	Path Position	Title	Author	Year	Path Note
Naturalism	3	The Call of the Wild	Jack London	1903	Naturalism you can't put down — instinct over will.
Naturalism	4	L'Assommoir	Émile Zola	1877	The slum novel — appetite and ruin.
Naturalism	5	Germinal	Émile Zola	1885	The masterpiece — the mine, the strike, the crowd.
Naturalism	6	McTeague	Frank Norris	1899	American greed and decline.
Naturalism	7	Sister Carrie	Theodore Dreiser	1900	The city as force — desire and drift.
Naturalism	8	Nana	Émile Zola	1880	Spectacle and rot at the top of society.
Naturalism	9	An American Tragedy	Theodore Dreiser	1925	Naturalism's long final statement.
Symbolism	1	Les Fleurs du mal	Charles Baudelaire	1857	Start here: the source — beauty, decay, the modern city.
Symbolism	2	Poèmes saturniens	Paul Verlaine	1866	Music over meaning — the ear leads.
Symbolism	3	A Season in Hell	Arthur Rimbaud	1873	The visionary rupture — brief and incandescent.
Symbolism	4	Illuminations	Arthur Rimbaud	1886	Prose poems that dissolve the world.
Symbolism	5	Symbolist Manifesto	Jean Moréas	1886	The program stated plainly.
Symbolism	6	L'Après-midi d'un faune	Stéphane Mallarmé	1876	Suggestion as everything.
Symbolism	7	Pelléas et Mélisande	Maurice Maeterlinck	1893	Symbolism on stage — mood over plot.
Symbolism	8	Un coup de dés	Stéphane Mallarmé	1897	The limit — the page itself becomes the poem. Attempt it last.
Modernism	1	Heart of Darkness	Joseph Conrad	1899	Start here: realism beginning to fracture — the hinge modernism swings from.
Modernism	2	The Metamorphosis	Franz Kafka	1915	Nightmare logic told deadpan — estrangement before the long books demand it.
Modernism	3	The Great Gatsby	F. Scott Fitzgerald	1925	The most compressed, accessible modernist novel — your way in.
Modernism	4	Mrs Dalloway	Virginia Woolf	1925	Consciousness across a single day — the whole method, now.
Modernism	5	The Love Song of J. Alfred Prufrock	T. S. Eliot	1915	The modernist voice in one poem — hesitation and irony.
Modernism	6	A Portrait of the Artist as a Young Man	James Joyce	1916	Style growing up with its hero — the approach to Joyce.
Modernism	7	The Sun Also Rises	Ernest Hemingway	1926	The opposite pole — everything left out.
Modernism	8	To the Lighthouse	Virginia Woolf	1927	Woolf's method at full depth.
Modernism	9	The Sound and the Fury	William Faulkner	1929	Time and mind shattered — difficulty with a reason.
Modernism	10	The Waste Land	T. S. Eliot	1922	The movement's defining poem — read once prose has taught its allusive logic.
Modernism	11	The Magic Mountain	Thomas Mann	1924	The novel of ideas — Europe on the eve.
Modernism	12	In Search of Lost Time	Marcel Proust	1913	Memory as architecture — begin the long ascent.
Modernism	13	Ulysses	James Joyce	1922	The summit — every technique at once. Attempt it last.
Modernism	14	Finnegans Wake	James Joyce	1939	Beyond the summit — for after Ulysses, if ever.
Surrealism	1	Manifesto of Surrealism	André Breton	1924	Start with the program — dream, automatism, the marvelous.
Surrealism	2	Nadja	André Breton	1928	Surrealism as lived experience — the accessible way in.
Surrealism	3	Alcools	Guillaume Apollinaire	1913	The precursor — modern lyric without punctuation.
Surrealism	4	Capitale de la douleur	Paul Éluard	1926	Love and image — the movement's most readable poetry.
Surrealism	5	Le Paysan de Paris	Louis Aragon	1926	The city made mythical.
Surrealism	6	Les Champs magnétiques	André Breton and Philippe Soupault	1920	The first automatic writing.
Surrealism	7	Mad Love	André Breton	1937	Desire as revelation — the mature statement.
Surrealism	8	Les Chants de Maldoror	Comte de Lautréamont	1869	The dark ancestor — read once the movement makes sense.
Existentialism	1	The Stranger	Albert Camus	1942	Start here: the absurd in a short, cold novel.
Existentialism	2	The Myth of Sisyphus	Albert Camus	1942	The idea stated directly — why go on.
Existentialism	3	Nausea	Jean-Paul Sartre	1938	Existence felt as vertigo — the novel of the concept.
Existentialism	4	No Exit	Jean-Paul Sartre	1944	"Hell is other people" — the ideas as a one-act play.
Existentialism	5	Notes from Underground	Fyodor Dostoevsky	1864	The precursor — freedom as torment.
Existentialism	6	The Plague	Albert Camus	1947	Meaning made in the face of the absurd.
Existentialism	7	Existentialism Is a Humanism	Jean-Paul Sartre	1946	The accessible summary — freedom and responsibility.
Existentialism	8	The Second Sex	Simone de Beauvoir	1949	Existentialism applied — becoming, not being.
Existentialism	9	Being and Nothingness	Jean-Paul Sartre	1943	The full philosophy — attempt it last.
Postmodernism	1	Slaughterhouse-Five	Kurt Vonnegut	1969	Start here: time unstuck, war absurd — postmodern and painless.
Postmodernism	2	The Crying of Lot 49	Thomas Pynchon	1966	Paranoia and pattern — Pynchon at short length.
Postmodernism	3	Ficciones	Jorge Luis Borges	1944	The precursor — labyrinths, mirrors, infinite libraries.
Postmodernism	4	Catch-22	Joseph Heller	1961	Circular logic as comedy — the system as trap.
Postmodernism	5	Pale Fire	Vladimir Nabokov	1962	A poem plus its mad commentary — form as game.
Postmodernism	6	If on a winter's night a traveler	Italo Calvino	1979	The reader put inside the book.
Postmodernism	7	White Noise	Don DeLillo	1985	Media, death, and irony — late-century America.
Postmodernism	8	The Name of the Rose	Umberto Eco	1980	Ideas smuggled inside a murder mystery.
Postmodernism	9	Beloved	Toni Morrison	1987	History, haunting, and voice — postmodern and profound.
Postmodernism	10	Blood Meridian	Cormac McCarthy	1985	Violence and myth — the anti-Western.
Postmodernism	11	Gravity's Rainbow	Thomas Pynchon	1973	The maximal summit — attempt it last.
Postcolonial literature	1	Things Fall Apart	Chinua Achebe	1958	Start here: the encounter told from inside — the founding novel.
Postcolonial literature	2	Wide Sargasso Sea	Jean Rhys	1966	Writing back to the canon — Jane Eyre's silenced other.
Postcolonial literature	3	Season of Migration to the North	Tayeb Salih	1966	The journey reversed — south to north and back.
Postcolonial literature	4	Black Skin, White Masks	Frantz Fanon	1952	The psychology of colonization — the key theory, readable.
Postcolonial literature	5	A House for Mr Biswas	V. S. Naipaul	1961	A life, a house, an empire's aftermath.
Postcolonial literature	6	Nervous Conditions	Tsitsi Dangarembga	1988	Gender and colonization — coming of age.
Postcolonial literature	7	The God of Small Things	Arundhati Roy	1997	Language and caste — lush and devastating.
Postcolonial literature	8	Midnight's Children	Salman Rushdie	1981	Nation as narrative — the exuberant landmark.
Postcolonial literature	9	Orientalism	Edward Said	1978	The theory that named the field — read once the novels ground it.
Postcolonial literature	10	The Wretched of the Earth	Frantz Fanon	1961	Decolonization's fiercest statement — the capstone.
Gothic	1	The Castle of Otranto	Horace Walpole	1764	Start here: the first Gothic — short and strange.
Gothic	2	The Fall of the House of Usher	Edgar Allan Poe	1839	The mode distilled into a single tale.
Gothic	3	Frankenstein	Mary Shelley	1818	Gothic given a mind — terror with ideas.
Gothic	4	The Monk	Matthew Lewis	1796	Gothic at full transgressive throttle.
Gothic	5	The Mysteries of Udolpho	Ann Radcliffe	1794	The atmospheric classic — dread by suggestion.
Gothic	6	Northanger Abbey	Jane Austen	1817	The affectionate parody — read once you know the tropes.
Gothic	7	Melmoth the Wanderer	Charles Maturin	1820	The dark capstone — the wandering damned.
Transcendentalism	1	Nature	Ralph Waldo Emerson	1836	Start here: the founding essay — the program itself.
Transcendentalism	2	Self-Reliance	Ralph Waldo Emerson	1841	The most quoted, most useful entry.
Transcendentalism	3	Civil Disobedience	Henry David Thoreau	1849	The idea with political teeth.
Transcendentalism	4	Walden	Henry David Thoreau	1854	The experiment in full — living deliberately.
Transcendentalism	5	The Over-Soul	Ralph Waldo Emerson	1841	The mystical core.
Transcendentalism	6	Woman in the Nineteenth Century	Margaret Fuller	1845	Transcendentalism applied to freedom.
Transcendentalism	7	Leaves of Grass	Walt Whitman	1855	The spirit become poetry — the summit.
Aestheticism / Decadence	1	The Importance of Being Earnest	Oscar Wilde	1895	Start light: wit as pure surface — the pleasure principle.
Aestheticism / Decadence	2	The Picture of Dorian Gray	Oscar Wilde	1890	Beauty, corruption, and a bargain.
Aestheticism / Decadence	3	Studies in the History of the Renaissance	Walter Pater	1873	The creed — "art for art's sake" argued.
Aestheticism / Decadence	4	Poems and Ballads	Algernon Charles Swinburne	1866	Scandalous music — the sensuous extreme.
Aestheticism / Decadence	5	Á rebours	Joris-Karl Huysmans	1884	The decadent bible — taste refined into disease.
Aestheticism / Decadence	6	The Ballad of Reading Gaol	Oscar Wilde	1898	Beauty meeting hard reality — the aftermath.
Imagism	1	In a Station of the Metro	Ezra Pound	1913	Start here: the whole movement in two lines.
Imagism	2	A Few Don'ts by an Imagiste	Ezra Pound and F. S. Flint	1913	The rules — clarity, image, no waste.
Imagism	3	Des Imagistes	Ezra Pound	1914	The first gathering — the movement assembling.
Imagism	4	Oread	H.D.	1914	The image at its purest.
Imagism	5	Sea Garden	H.D.	1916	Imagism sustained into a whole book.
Imagism	6	Some Imagist Poets	Amy Lowell	1915	The movement widens.
Expressionism	1	Morgue and Other Poems	Gottfried Benn	1912	Start with the shock — the body, unsparing.
Expressionism	2	Poems of Georg Trakl	Georg Trakl	1913	Dark, luminous imagery — the lyric core.
Expressionism	3	From Morning to Midnight	Georg Kaiser	1912	Expressionist drama — the everyman spiraling.
Expressionism	4	Menschheitsdämmerung	Kurt Pinthus	1919	The defining anthology — the movement in one volume.
Expressionism	5	Man and the Masses	Ernst Toller	1920	Politics and anguish on stage.
Expressionism	6	The Gas Trilogy	Georg Kaiser	1917	Industry and apocalypse — the fuller vision.
Futurism	1	The Founding and Manifesto of Futurism	F. T. Marinetti	1909	Start here: the movement is its manifesto.
Futurism	2	Technical Manifesto of Futurist Literature	F. T. Marinetti	1912	The method — words set free.
Futurism	3	Zang Tumb Tumb	F. T. Marinetti	1914	The theory made noise — sound and typography.
Futurism	4	A Slap in the Face of Public Taste	David Burliuk, Aleksei Kruchenykh, Vladimir Mayakovsky and Velimir Khlebnikov	1912	The movement goes global.
Futurism	5	A Cloud in Trousers	Vladimir Mayakovsky	1915	Futurism with a beating heart — the readable peak.
Dada	1	Dada Manifesto	Tristan Tzara	1918	Start here: anti-art declares itself.
Dada	2	Karawane	Hugo Ball	1916	Sound poetry — language abolished.
Dada	3	The First Heavenly Adventure of Mr. Antipyrine	Tristan Tzara	1916	Dada on stage — nonsense with intent.
Dada	4	Anna Blume	Kurt Schwitters	1919	Collage as love poem.
Dada	5	Cabaret Voltaire	Hugo Ball	1916	Where it happened — the anthology of the moment.
Harlem Renaissance	1	The Negro Speaks of Rivers	Langston Hughes	1921	Start here: the movement's voice in one short poem.
Harlem Renaissance	2	If We Must Die	Claude McKay	1919	Defiance in fourteen lines.
Harlem Renaissance	3	The New Negro	Alain Locke	1925	The manifesto-anthology — the movement announcing itself.
Harlem Renaissance	4	The Weary Blues	Langston Hughes	1926	Jazz and blues become poetry.
Harlem Renaissance	5	Cane	Jean Toomer	1923	The experimental masterpiece — prose, verse, and vision.
Harlem Renaissance	6	Passing	Nella Larsen	1929	Identity and the color line — taut and modern.
Harlem Renaissance	7	Their Eyes Were Watching God	Zora Neale Hurston	1937	The culminating novel — voice and self.
Theatre of the Absurd	1	The Bald Soprano	Eugène Ionesco	1950	Start here: language collapsing into farce.
Theatre of the Absurd	2	The Zoo Story	Edward Albee	1959	Two men, one bench — the absurd, American and short.
Theatre of the Absurd	3	Rhinoceros	Eugène Ionesco	1959	Conformity as epidemic — the accessible parable.
Theatre of the Absurd	4	Waiting for Godot	Samuel Beckett	1953	The center of the movement — nothing happens, twice.
Theatre of the Absurd	5	The Birthday Party	Harold Pinter	1957	Menace in the everyday.
Theatre of the Absurd	6	Endgame	Samuel Beckett	1957	Bleaker, tighter — the summit of the form.
Beat Generation	1	Howl and Other Poems	Allen Ginsberg	1956	Start here: the movement's detonation.
Beat Generation	2	On the Road	Jack Kerouac	1957	The Beat novel — motion as meaning.
Beat Generation	3	A Coney Island of the Mind	Lawrence Ferlinghetti	1958	Accessible, playful Beat verse.
Beat Generation	4	The Dharma Bums	Jack Kerouac	1958	Beats and Buddhism — gentler, searching.
Beat Generation	5	Kaddish and Other Poems	Allen Ginsberg	1961	Grief at full voice — the deeper Ginsberg.
Beat Generation	6	Naked Lunch	William S. Burroughs	1959	The extreme edge — fragmented and difficult. Attempt it last.
Magical realism	1	Pedro Páramo	Juan Rulfo	1955	Start here: the short novel that made the mode possible.
Magical realism	2	Chronicle of a Death Foretold	Gabriel García Márquez	1981	Compact and perfect — the way in.
Magical realism	3	The Kingdom of This World	Alejo Carpentier	1949	Where the term was born — history made marvelous.
Magical realism	4	Like Water for Chocolate	Laura Esquivel	1989	Warm, popular, easy to love.
Magical realism	5	The House of the Spirits	Isabel Allende	1982	Family saga with the marvelous woven through.
Magical realism	6	Beloved	Toni Morrison	1987	The mode at its most serious.
Magical realism	7	One Hundred Years of Solitude	Gabriel García Márquez	1967	The summit — a century, a family, a village. Read it when ready.
New Sincerity	1	This Is Water	David Foster Wallace	2005	Start here: the ethos in one short speech.
New Sincerity	2	E Unibus Pluram	David Foster Wallace	1993	The argument against irony — the manifesto.
New Sincerity	3	Tenth of December	George Saunders	2013	Warmth and craft — the accessible stories.
New Sincerity	4	A Heartbreaking Work of Staggering Genius	Dave Eggers	2000	Self-aware but sincere memoir.
New Sincerity	5	The Brief Wondrous Life of Oscar Wao	Junot Díaz	2007	Voice, heart, and footnotes.
New Sincerity	6	The Corrections	Jonathan Franzen	2001	The big family novel of feeling.
New Sincerity	7	Infinite Jest	David Foster Wallace	1996	The maximal summit — attempt it last.
